metric,small_model_3b,uniform_large_model_7b,tiered_final
category_accuracy,0.5555555555555556,0.6666666666666666,0.6
urgency_accuracy,0.6222222222222222,0.6666666666666666,0.5555555555555556
action_accuracy,0.9333333333333333,0.8888888888888888,0.9555555555555556
exact_resolution_accuracy,0.37777777777777777,0.4444444444444444,0.35555555555555557
human_review_precision,1.0,0.7692307692307693,1.0
human_review_recall,0.75,0.8333333333333334,0.8333333333333334
human_review_f1,0.8571428571428571,0.8,0.9090909090909091
unsafe_auto_resolution_rate,0.06666666666666667,0.044444444444444446,0.044444444444444446
large_model_escalation_precision,,,1.0
large_model_escalation_recall,,,0.9285714285714286
large_model_escalation_f1,,,0.962962962962963
small_model_calls,45,0,45
large_model_calls,0,45,13
total_latency_seconds,170.2951979680006,156.49390681400132,219.3250184280007
mean_latency_seconds,3.7843377326222356,3.477642373644474,4.873889298400016
total_gpu_seconds,170.2951979680006,156.49390681400132,219.32214993900152
mean_gpu_seconds,3.7843377326222356,3.477642373644474,4.8738255542000335
peak_vram_bytes,2132131328,5784086016,5783684608
